timestamp,open,high,low,close,volume
2025-01-13 00:00:00,1.1897,1.1902,1.1865,1.1879,2674.0
2025-01-13 00:01:00,1.1886,1.1897,1.1879,1.1897,1490.0
2025-01-13 00:02:00,1.1902,1.1907,1.1892,1.1892,834.0
2025-01-13 00:03:00,1.1901,1.1919,1.1896,1.1898,1300.0
2025-01-13 00:04:00,1.19,1.1909,1.1899,1.1909,143.0
2025-01-13 00:05:00,1.1902,1.1902,1.1881,1.1881,661.0
2025-01-13 00:06:00,1.1893,1.1899,1.1888,1.1892,140.0
2025-01-13 00:07:00,1.1893,1.1916,1.1893,1.1912,1271.0
2025-01-13 00:08:00,1.1912,1.1925,1.1912,1.1919,2435.0
2025-01-13 00:09:00,1.1921,1.1922,1.1902,1.1902,107.0
2025-01-13 00:10:00,1.1902,1.1908,1.1884,1.1884,1517.0
2025-01-13 00:11:00,1.1883,1.1895,1.1883,1.1893,703.0
2025-01-13 00:12:00,1.1888,1.1895,1.1885,1.1895,560.0
2025-01-13 00:13:00,1.1902,1.1902,1.1902,1.1902,24.0
2025-01-13 00:14:00,1.1902,1.1902,1.1902,1.1902,0.0
2025-01-13 00:15:00,1.1891,1.1899,1.1889,1.1896,189.0
2025-01-13 00:16:00,1.1899,1.1921,1.1899,1.1906,2551.0
2025-01-13 00:17:00,1.1903,1.1903,1.1873,1.1874,2040.0
2025-01-13 00:18:00,1.1878,1.1894,1.1878,1.1885,7094.0
2025-01-13 00:19:00,1.1886,1.1886,1.1878,1.188,230.0
2025-01-13 00:20:00,1.188,1.188,1.1869,1.187,395.0
2025-01-13 00:21:00,1.1866,1.1866,1.1863,1.1863,342.0
2025-01-13 00:22:00,1.1862,1.1885,1.1862,1.1885,5961.0
2025-01-13 00:23:00,1.1874,1.1887,1.1874,1.1882,279.0
2025-01-13 00:24:00,1.1882,1.1882,1.1882,1.1882,0.0
2025-01-13 00:25:00,1.1911,1.1931,1.1911,1.1931,759.0
2025-01-13 00:26:00,1.1935,1.1979,1.1934,1.1979,1297.0
2025-01-13 00:27:00,1.1974,1.1992,1.1974,1.1992,479.0
2025-01-13 00:28:00,1.2013,1.2085,1.2013,1.2038,16893.0
2025-01-13 00:29:00,1.2037,1.2077,1.2037,1.2046,847.0
2025-01-13 00:30:00,1.2045,1.2136,1.2045,1.2128,25995.0
2025-01-13 00:31:00,1.2135,1.2177,1.2128,1.2177,6482.0
2025-01-13 00:32:00,1.2179,1.2237,1.2179,1.2202,10139.0
2025-01-13 00:33:00,1.2197,1.224,1.2191,1.2233,3061.0
2025-01-13 00:34:00,1.2231,1.2248,1.2213,1.2213,2124.0
2025-01-13 00:35:00,1.2213,1.2241,1.2213,1.2224,1798.0
2025-01-13 00:36:00,1.2226,1.2246,1.2226,1.2246,186.0
2025-01-13 00:37:00,1.2243,1.225,1.2232,1.2244,19420.0
2025-01-13 00:38:00,1.223,1.223,1.2176,1.2183,4633.0
2025-01-13 00:39:00,1.2187,1.2209,1.2173,1.2182,6645.0
2025-01-13 00:40:00,1.2182,1.2219,1.2182,1.2214,933.0
2025-01-13 00:41:00,1.2218,1.224,1.22,1.2225,6473.0
2025-01-13 00:42:00,1.2228,1.2265,1.2228,1.2235,17205.0
2025-01-13 00:43:00,1.2207,1.2214,1.2199,1.2206,2849.0
2025-01-13 00:44:00,1.2198,1.2206,1.2175,1.219,1093.0
2025-01-13 00:45:00,1.2197,1.2202,1.2156,1.2162,1316.0
2025-01-13 00:46:00,1.2155,1.2161,1.2139,1.2161,1289.0
2025-01-13 00:47:00,1.2152,1.2152,1.2139,1.214,708.0
2025-01-13 00:48:00,1.2151,1.2151,1.2127,1.2146,167.0
2025-01-13 00:49:00,1.2145,1.2178,1.2141,1.2164,1035.0
2025-01-13 00:50:00,1.2164,1.2197,1.2164,1.2184,389.0
2025-01-13 00:51:00,1.2176,1.2177,1.2176,1.2177,82.0
2025-01-13 00:52:00,1.2175,1.2176,1.2156,1.2166,265.0
2025-01-13 00:53:00,1.2163,1.2176,1.2157,1.2176,1600.0
2025-01-13 00:54:00,1.2179,1.2179,1.2153,1.2153,680.0
2025-01-13 00:55:00,1.2156,1.2162,1.2136,1.2136,4639.0
2025-01-13 00:56:00,1.2134,1.2145,1.2133,1.214,674.0
2025-01-13 00:57:00,1.214,1.2142,1.2138,1.2142,134.0
2025-01-13 00:58:00,1.2137,1.2137,1.2129,1.2131,3017.0
2025-01-13 00:59:00,1.2127,1.2136,1.2127,1.2136,1247.0
2025-01-13 01:00:00,1.2138,1.2155,1.2126,1.2152,619.0
2025-01-13 01:01:00,1.2163,1.2163,1.2119,1.2139,283.0
2025-01-13 01:02:00,1.2141,1.2141,1.2082,1.2086,1360.0
2025-01-13 01:03:00,1.2087,1.2088,1.2082,1.2084,182.0
2025-01-13 01:04:00,1.2061,1.2097,1.206,1.2097,576.0
2025-01-13 01:05:00,1.2072,1.2075,1.2072,1.2075,161.0
2025-01-13 01:06:00,1.2053,1.2068,1.2053,1.2068,260.0
2025-01-13 01:07:00,1.2067,1.207,1.2053,1.207,3939.0
2025-01-13 01:08:00,1.2064,1.2064,1.2046,1.2054,2053.0
2025-01-13 01:09:00,1.2052,1.2062,1.2044,1.2055,2459.0
